site_id,unit_id,year,chin,omyk,marked,recaps,non_recaps,chap_est,chap_cv,snk,ft,fnt,pl,ssc,lwd1,lwd2,lwd3,vis1,vis2,vis3,davg
ORW03446-177134,4,2012,0,1,4,1,2,9,0.35,3,1,0,0,0,1,0,0,0,0,1,0.071241063
CBW05583-013226,1,2015,0,1,2,1,2,5,0.28,1,0,0,1,0,0,0,1,0,1,0,0.22983491
CBW05583-073130,3,2015,1,0,4,2,2,7,0.23,14,1,0,0,0,1,0,0,0,1,0,0.152556976
CBW05583-073130,3,2015,0,1,25,3,12,103,0.36,14,1,0,0,0,1,0,0,0,1,0,0.152556976
CBW05583-073130,6,2015,1,0,12,2,6,38,0.37,17,0,0,1,0,0,1,0,0,1,0,0.215215343
CBW05583-073130,6,2015,0,1,13,2,11,64,0.4,19,0,0,1,0,0,1,0,0,1,0,0.215215343
CBW05583-086954,2,2015,1,0,2,2,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0.194408896
CBW05583-086954,2,2015,0,1,11,7,7,22,0.14,10,0,0,1,0,1,0,0,0,1,0,0.194408896
CBW05583-086954,3,2015,0,1,22,14,19,51,0.11,25,1,0,0,0,0,1,0,0,1,0,0.158653456
CBW05583-095642,4,2015,0,1,62,15,87,405,0.19,12,0,1,0,0,1,0,0,1,0,0,0.074493382
CBW05583-095642,9,2015,0,1,54,27,64,180,0.11,33,0,0,1,0,1,0,0,1,0,0,0.089996179
CBW05583-135615,4,2015,0,1,27,8,20,89,0.22,1,0,0,1,0,1,0,0,1,0,0,0.171949245
CBW05583-142490,9,2015,1,0,7,3,2,11,0.2,10,0,0,1,0,1,0,0,0,0,1,0.141650727
CBW05583-142490,9,2015,0,1,14,7,7,27,0.16,18,0,0,1,0,1,0,0,0,0,1,0.141650727
CBW05583-142490,13,2015,0,1,6,3,6,16,0.24,3,0,1,0,0,0,0,1,0,0,1,0.068715837
CBW05583-252730,6,2015,0,1,12,1,10,77,0.49,3,0,0,1,0,1,0,0,0,1,0,0.236615293
CBW05583-285498,2,2015,0,1,8,5,9,22,0.18,7,0,0,1,0,1,0,0,0,1,0,0.259630182
CBW05583-285498,7,2015,1,0,2,2,0,2,0,2,0,1,0,0,1,0,0,0,1,0,0.138927872
CBW05583-285498,7,2015,0,1,7,2,6,23,0.34,4,0,1,0,0,1,0,0,0,1,0,0.138927872
CBW05583-335162,13,2015,1,0,4,1,2,9,0.35,9,0,0,1,0,0,0,1,0,1,0,0.25975272
CBW05583-335162,13,2015,0,1,8,3,1,10,0.16,3,0,0,1,0,0,0,1,0,1,0,0.25975272
CBW05583-381866,11,2015,0,1,6,4,2,9,0.13,2,1,0,0,0,0,0,1,0,1,0,0.256757961
CBW05583-381866,12,2015,0,1,2,1,4,8,0.31,1,0,0,1,0,0,0,1,0,1,0,0.269362697
CBW05583-417962,2,2015,1,0,29,9,16,77,0.2,21,0,0,1,0,1,0,0,0,1,0,0.28346877
CBW05583-417962,2,2015,0,1,11,1,9,65,0.48,2,0,0,1,0,1,0,0,0,1,0,0.28346877
CBW05583-417962,7,2015,1,0,5,2,3,11,0.27,2,0,0,1,0,1,0,0,0,1,0,0.250325069
CBW05583-421786,13,2015,0,1,31,5,21,143,0.3,10,1,0,0,0,1,0,0,0,1,0,0.082536979
CBW05583-421786,16,2015,0,1,7,1,9,43,0.46,20,0,0,1,0,0,0,1,0,1,0,0.22546078
CBW05583-453946,2,2015,0,1,7,3,3,13,0.22,9,1,0,0,0,0,1,0,1,0,0,0.087825294
CBW05583-453946,3,2015,0,1,5,4,0,5,0,1,0,0,1,0,1,0,0,1,0,0,0.137649424
CBW05583-487322,1,2015,0,1,20,5,19,86,0.28,10,0,0,1,0,0,1,0,0,1,0,0.137940724
CBW05583-487322,6,2015,0,1,41,9,28,159,0.23,3,1,0,0,0,0,0,1,0,1,0,0.053212482
CBW05583-491690,25,2015,1,0,12,1,17,122,0.51,114,0,1,0,0,0,1,0,0,1,0,0.201579909
CBW05583-491690,25,2015,0,1,40,9,72,335,0.25,24,0,1,0,0,0,1,0,0,1,0,0.201579909
CBW05583-498490,5,2015,0,1,18,9,7,31,0.14,7,1,0,0,0,1,0,0,0,1,0,0.072769597
CBW05583-498490,7,2015,1,0,3,1,1,5,0.28,5,0,0,1,0,1,0,0,0,1,0,0.229769131
CBW05583-498490,7,2015,0,1,10,5,4,17,0.17,4,0,0,1,0,1,0,0,0,1,0,0.229769131
CBW05583-506682,1,2015,1,0,87,51,62,192,0.07,132,1,0,0,0,0,1,0,0,0,1,0.069260678
CBW05583-506682,1,2015,0,1,42,16,21,95,0.14,9,1,0,0,0,0,1,0,0,0,1,0.069260678
CBW05583-506682,3,2015,1,0,39,14,21,95,0.15,80,0,0,1,0,0,1,0,0,0,1,0.21717925
CBW05583-506682,3,2015,0,1,22,5,4,37,0.21,25,0,0,1,0,0,1,0,0,0,1,0.21717925
CBW05583-514874,8,2015,0,1,11,6,1,13,0.09,4,0,0,1,0,1,0,0,0,1,0,0.281860189
CBW05583-514874,9,2015,0,1,13,4,6,30,0.25,7,1,0,0,0,1,0,0,0,1,0,0.151374694
CBW05583-527786,1,2015,1,0,17,2,4,41,0.35,10,1,0,0,0,1,0,0,0,1,0,0.204422292
CBW05583-527786,1,2015,0,1,35,10,27,123,0.2,6,1,0,0,0,1,0,0,0,1,0,0.204422292
CBW05583-527786,2,2015,1,0,38,24,6,47,0.05,0,0,0,1,0,0,1,0,0,1,0,0.403616308
CBW05583-527786,2,2015,0,1,21,6,7,43,0.21,4,0,0,1,0,0,1,0,0,1,0,0.403616308
CBW05583-531882,1,2015,1,0,58,11,25,181,0.2,24,1,0,0,0,1,0,0,0,1,0,0.166542119
CBW05583-531882,1,2015,0,1,50,15,42,184,0.17,21,1,0,0,0,1,0,0,0,1,0,0.166542119
CBW05583-531882,2,2015,1,0,13,4,7,33,0.26,23,0,0,1,0,1,0,0,0,1,0,0.228297461
CBW05583-531882,2,2015,0,1,8,4,2,12,0.16,2,0,0,1,0,1,0,0,0,1,0,0.228297461
dsgn4-000001,2,2015,1,0,12,5,3,18,0.17,0,0,0,1,0,0,0,1,0,1,0,0.164907687
dsgn4-000006,15,2015,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.11906585
dsgn4-000009,3,2015,1,0,7,4,5,15,0.19,48,0,0,1,0,0,0,1,0,0,1,0.209444659
dsgn4-000010,8,2015,0,1,12,5,6,25,0.2,12,1,0,0,0,0,0,1,0,1,0,0.244796214
dsgn4-000010,9,2015,1,0,45,11,42,206,0.21,69,0,0,1,0,1,0,0,0,1,0,0.291946078
dsgn4-000010,9,2015,0,1,34,12,33,123,0.18,32,0,0,1,0,1,0,0,0,1,0,0.291946078
dsgn4-000092,4,2015,1,0,3,2,6,11,0.22,3,0,0,1,0,1,0,0,0,1,0,0.11335758
dsgn4-000092,4,2015,0,1,24,15,10,40,0.09,37,0,0,1,0,1,0,0,0,1,0,0.11335758
dsgn4-000092,7,2015,0,1,19,7,12,49,0.2,3,1,0,0,0,1,0,0,0,1,0,0.113330192
dsgn4-000094,12,2015,0,1,8,4,1,10,0.12,6,0,0,1,0,1,0,0,0,1,0,0.210927905
dsgn4-000161,1,2015,0,1,6,3,1,8,0.15,0,1,0,0,0,1,0,0,0,0,1,0.127915185
dsgn4-000161,4,2015,0,1,3,2,2,6,0.19,2,0,0,1,0,1,0,0,0,0,1,0.317237515
dsgn4-000168,3,2015,1,0,3,2,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0.162426965
dsgn4-000168,3,2015,0,1,3,2,8,14,0.23,1,1,0,0,0,1,0,0,0,1,0,0.162426965
dsgn4-000168,6,2015,0,1,3,1,1,5,0.28,6,0,0,1,0,1,0,0,0,1,0,0.18030724
dsgn4-000277,4,2015,1,0,8,4,5,17,0.2,0,0,1,0,0,1,0,0,0,1,0,0.138164325
dsgn4-000277,4,2015,0,1,9,2,4,22,0.33,3,0,1,0,0,1,0,0,0,1,0,0.138164325
dsgn4-000277,9,2015,1,0,42,12,29,138,0.19,16,1,0,0,0,1,0,0,0,1,0,0.118361282
dsgn4-000277,9,2015,0,1,22,5,11,64,0.27,1,1,0,0,0,1,0,0,0,1,0,0.118361282
ORW03446-065720,6,2015,0,1,10,1,6,43,0.46,6,0,0,0,1,0,0,1,0,1,0,0.083862994
ORW03446-065720,10,2015,0,1,22,14,6,31,0.08,28,0,1,0,0,1,0,0,0,1,0,0.09366392
ORW03446-077704,4,2015,0,1,2,2,1,3,0,1,0,0,1,0,1,0,0,0,1,0,0.116153274
ORW03446-130030,15,2015,0,1,19,13,4,25,0.07,32,1,0,0,0,1,0,0,0,1,0,0.052065312
ORW03446-130030,16,2015,0,1,55,30,27,104,0.08,222,0,0,1,0,1,0,0,0,1,0,0.144261618
ORW03446-137980,6,2015,1,0,3,2,4,8,0.21,3,0,0,1,0,1,0,0,0,1,0,0.31343145
ORW03446-137980,6,2015,0,1,17,8,8,33,0.16,3,0,0,1,0,1,0,0,0,1,0,0.31343145
ORW03446-159368,6,2015,0,1,7,3,3,13,0.22,6,0,0,1,0,0,0,1,0,0,1,0.204095276
ORW03446-159368,8,2015,0,1,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0.141132676
ORW03446-177134,1,2015,0,1,10,7,5,17,0.11,2,0,0,1,0,1,0,0,0,1,0,0.092462334
ORW03446-177134,4,2015,0,1,4,1,3,12,0.38,2,1,0,0,0,1,0,0,0,1,0,0.070228014
